DateTime,ACMV.L1.AHU.ARU.1.RAT,ACMV.L1.AHU.ARU.1.RAT_SETPOINT,ACMV.L1.AHU.ARU.1.SAT,ACMV.L1.AHU.ARU.1.VALVE_CMD,ACMV.L1.AHU.ARU.1.VALVE_POS
10/2/2020 14:50:00,23.142265,23,18.806318,48.662453,49.709404
10/2/2020 15:00:00,23.142265,23,18.782032,48.662453,49.709404
10/2/2020 15:10:00,23.167818,23,18.733376,48.662453,49.709404
10/2/2020 15:20:00,23.091084,23,18.782032,48.662453,49.709404
10/2/2020 15:30:00,23.142265,23,18.782032,48.662453,49.807842
10/2/2020 15:40:00,23.142265,23,18.830563,48.662453,49.807842
10/2/2020 15:50:00,23.167818,23,18.878994,48.662453,49.709404
10/2/2020 16:00:00,23.142265,23,18.830563,48.662453,49.610977
10/2/2020 16:10:00,23.142265,23,18.757719,48.662453,49.512543
10/2/2020 16:20:00,23.142265,23,18.830563,48.662453,49.610977
10/2/2020 16:30:00,23.142265,23,18.830563,48.662453,49.610977
10/2/2020 16:40:00,23.19334,23,18.903164,48.662453,49.512543
10/2/2020 16:50:00,23.142265,23,18.903164,48.662453,49.709404
10/2/2020 17:00:00,23.142265,23,18.903164,48.662453,49.610977
10/2/2020 17:10:00,24.04752,23,19.944931,0,29.530972
10/2/2020 17:20:00,24.35537,23,21.051289,0,29.530972
10/2/2020 17:30:00,24.608995,23,21.888594,0,29.432547
10/2/2020 17:40:00,24.659412,23,22.54208,0,29.62941
10/2/2020 17:50:00,24.810022,23,22.964306,0,29.62941
10/2/2020 18:00:00,24.984568,23,23.421841,0,29.334116
10/2/2020 18:10:00,25.060772,23,23.698187,0,29.432547
10/2/2020 18:20:00,25.009689,23,23.897171,0,29.432547
10/2/2020 18:30:00,25.035242,23,24.150572,0,29.432547
10/2/2020 18:40:00,25.111757,23,24.304327,0,29.432547
10/2/2020 18:50:00,25.213408,23,24.457136,0,29.432547
10/2/2020 19:00:00,25.314644,23,24.634216,0,29.530972
10/2/2020 19:10:00,25.264076,23,24.759922,0,29.432547
10/2/2020 19:20:00,25.238754,23,24.835032,0,29.530972
10/2/2020 19:30:00,25.289373,23,24.959713,0,29.530972
10/2/2020 19:40:00,25.264076,23,24.984568,0,29.62941
10/2/2020 19:50:00,25.213408,23,25.060772,0,29.530972
10/2/2020 20:00:00,25.314644,23,25.111757,0,29.432547
10/2/2020 20:10:00,25.339886,23,25.162632,0,29.432547
10/2/2020 20:20:00,25.339886,23,25.238754,0,29.432547
10/2/2020 20:30:00,25.365112,23,25.238754,0,29.530972
10/2/2020 20:40:00,25.339886,23,25.289373,0,29.334116
10/2/2020 20:50:00,25.314644,23,25.289373,0,29.62941
10/2/2020 21:00:00,25.314644,23,25.314644,0,29.530972
10/2/2020 21:10:00,25.289373,23,25.339886,0,29.530972
10/2/2020 21:20:00,25.339886,23,25.339886,0,29.432547
10/2/2020 21:30:00,25.339886,23,25.314644,0,29.530972
10/2/2020 21:40:00,25.365112,23,25.365112,0,29.334116
10/2/2020 21:50:00,25.365112,23,25.365112,0,29.530972
10/2/2020 22:00:00,25.415476,23,25.339886,0,29.530972
10/2/2020 22:10:00,25.440617,23,25.390301,0,29.530972
10/2/2020 22:20:00,25.440617,23,25.339886,0,29.334116
10/2/2020 22:30:00,25.49082,23,25.415476,0,29.23568
10/2/2020 22:40:00,25.465729,23,25.440617,0,29.432547
10/2/2020 22:50:00,25.465729,23,25.440617,0,29.62941
10/2/2020 23:00:00,25.51589,23,25.440617,0,29.530972
10/2/2020 23:10:00,25.54093,23,25.440617,0,29.62941
10/2/2020 23:20:00,25.49082,23,25.49082,0,29.530972
10/2/2020 23:30:00,25.440617,23,25.51589,0,29.530972
10/2/2020 23:40:00,25.54093,23,25.49082,0,29.530972
10/2/2020 23:50:00,25.54093,23,25.51589,0,29.432547
10/3/2020 00:00:00,25.54093,23,25.49082,0,29.530972
10/3/2020 00:10:00,25.54093,23,25.49082,0,29.530972
10/3/2020 00:20:00,25.590939,23,25.49082,0,29.432547
10/3/2020 00:30:00,25.640842,23,25.54093,0,29.530972
10/3/2020 00:40:00,25.665756,23,25.54093,0,29.432547
10/3/2020 00:50:00,25.665756,23,25.565943,0,30.023134
10/3/2020 01:00:00,25.640842,23,25.49082,0,29.432547
10/3/2020 01:10:00,25.640842,23,25.51589,0,29.530972
10/3/2020 01:20:00,25.640842,23,25.49082,0,29.432547
10/3/2020 01:30:00,25.640842,23,25.51589,0,29.530972
10/3/2020 01:40:00,25.615904,23,25.565943,0,29.334116
10/3/2020 01:50:00,25.590939,23,25.565943,0,29.432547
10/3/2020 02:00:00,25.615904,23,25.590939,0,29.432547
10/3/2020 02:10:00,25.615904,23,25.615904,0,29.530972
10/3/2020 02:20:00,25.640842,23,25.615904,0,29.334116
10/3/2020 02:30:00,25.640842,23,25.615904,0,29.530972
10/3/2020 02:40:00,25.640842,23,25.590939,0,29.334116
10/3/2020 02:50:00,25.590939,23,25.590939,0,29.530972
10/3/2020 03:00:00,25.565943,23,25.590939,0,29.432547
10/3/2020 03:10:00,25.615904,23,25.590939,0,29.432547
10/3/2020 03:20:00,25.590939,23,25.590939,0,29.432547
10/3/2020 03:30:00,25.565943,23,25.615904,0,29.62941
10/3/2020 03:40:00,25.590939,23,25.590939,0,29.432547
10/3/2020 03:50:00,25.615904,23,25.615904,0,29.530972
10/3/2020 04:00:00,25.665756,23,25.640842,0,29.530972
